keys,en,ru
KEY_ADJ_DMG_BONUS_NOTE,"[color=#7dcea0]Adjacency: +%d damage from neighbouring modules[/color]","[color=#7dcea0]Соседство: +%d урона от соседних модулей[/color]"
KEY_ADJ_DMG_BONUS_NOTE_PLAIN,Adjacency: +%d damage from neighbouring modules,Соседство: +%d урона от соседних модулей
KEY_ADJ_DOT_BONUS_NOTE,"[color=#e67e22]Adjacency: +%d DoT stack from Amplifiers[/color]","[color=#e67e22]Соседство: +%d стак DoT от усилителей[/color]"
KEY_ADJ_DOT_BONUS_NOTE_PLAIN,Adjacency: +%d DoT stack from Amplifiers,Соседство: +%d стак DoT от усилителей
KEY_TEMP_DMG_BONUS_NOTE,"[color=#f5b041]Temporary: +%d damage until end of turn[/color]","[color=#f5b041]Временно: +%d урона до конца хода[/color]"
KEY_TEMP_DMG_BONUS_NOTE_PLAIN,Temporary: +%d damage until end of turn,Временно: +%d урона до конца хода
KEY_LOG_NO_COMBAT_USES,No uses left for this combat.,Лимит использований в этом бою исчерпан.
KEY_HP,HP,ОЗ
KEY_CORRUPTED,Corrupted,Искажено
KEY_MUTATION_LEVEL,Mutation Level,Уровень мутации
KEY_REQ_EDGE,Requires edge,Только край
KEY_END_TURN,End Turn,Конец хода
KEY_CONTINUE,Continue,Продолжить
KEY_RETURN_TO_MAP,Return to Map,На карту
KEY_NEW_RUN,New Run,Новый забег
KEY_BODY_GRID,Body Grid,Сетка тела
KEY_COMBAT_LOG,Combat Log,Боевой лог
KEY_MUTATE_CELLS,Mutate (+cells),Мутация (+клетки)
KEY_LANGUAGE,Language,Язык
KEY_HIDE_DEBUG_TOOLS,Hide Debug Tools,Скрыть debug-инструменты
KEY_DEBUG_CELL_DAMAGE,Cell Damage (Debug),Урон по ячейке (Debug)
KEY_LEVEL_UP,Level Up,Новый уровень
KEY_TARGET,Target,Цель
KEY_MODULES,Modules,Модули
KEY_PASSIVE,PASSIVE,ПАССИВ
KEY_BLOCK,BLOCK,БЛОК
KEY_FRAME_HP,FRAME HP,ОЗ КАРКАСА
KEY_PLAYER_TURN,PLAYER TURN,ХОД ИГРОКА
KEY_ENEMY_TURN,ENEMY TURN,ХОД ВРАГА
KEY_VICTORY,VICTORY,ПОБЕДА
KEY_FRAME_FAILURE,FRAME FAILURE,СБОЙ КАРКАСА
KEY_DONE,[DONE],[ГОТОВО]
KEY_LOCKED,Locked,Закрыто
KEY_EDGE_CELL,Edge cell,Крайняя клетка
KEY_BODY_CELL,Body cell,Клетка тела
KEY_SECTOR_MAP,SECTOR MAP — choose the next node,КАРТА СЕКТОРА — выберите следующий узел
KEY_BODY_GRID_TITLE,BODY GRID,СЕТКА ТЕЛА
KEY_PLAYER_STATS,Player Stats,Характеристики
KEY_STASH_TITLE,STASH / UNGRAFTED,СКЛАД / НЕВСТРОЕННОЕ
KEY_MUTATION_DEFAULT,MUTATION: mechanical frame,МУТАЦИЯ: механический каркас
KEY_TYPE_COMBAT,COMBAT,БОЙ
KEY_TYPE_REPAIR,REPAIR,РЕМОНТ
KEY_TYPE_EVENT,EVENT,СОБЫТИЕ
KEY_TYPE_BOSS,BOSS,БОСС
KEY_TYPE_MAIN_STORY,MAIN STORY,СЮЖЕТ
KEY_TYPE_INTRO,INTRO,ИНТРО
KEY_TYPE_SHOP,SHOP,МАГАЗИН
KEY_TYPE_ELITE,ELITE,ЭЛИТА
KEY_RARITY_COMMON,Common,Обычный
KEY_RARITY_UNCOMMON,Uncommon,Необычный
KEY_RARITY_RARE,Rare,Редкий
KEY_RARITY_VERY_RARE,Very Rare,Очень редкий
KEY_REWARD_SELECT_UP_TO_3,Select up to 3 new items,Выберите до 3 новых предметов
KEY_REWARD_PICK_LIMIT,Cannot pick more than 3 new items!,Нельзя взять больше 3 новых предметов!
KEY_REWARD_NOT_DROPPABLE,This item cannot be discarded!,Этот предмет нельзя выбросить!
KEY_TYPE_STAIRS,STAIRS,ЛЕСТНИЦА
KEY_TYPE_REWARD,REWARD,НАГРАДА
KEY_REWARD_SELECT_ONE,Select 1 item,Выберите 1 предмет
KEY_REWARD_PICK_LIMIT_ONE,You can take only one item!,Можно взять только один предмет!
KEY_CHEST_HINT,Examine the chest,Осмотрите сундук
KEY_CHEST_NEED_LOCKPICK,A lockpick is required to unlock this chest.,Чтобы отпереть сундук, требуется отмычка.
KEY_STATUS_CHEST_OPENED,Chest opened.,Сундук открыт.
KEY_STATUS_CHEST_LEFT,You leave the chest behind.,Вы оставляете сундук позади.
KEY_MAIN_STORY_BADGE,MAIN STORY,СЮЖЕТ
KEY_INTRO_BADGE,INTRO / GOD,ИНТРО / БОГ
KEY_ATK,ATK,АТК
KEY_BLK,BLK,БЛК
KEY_AP_FMT,%s %d / %d,%s %d / %d
KEY_HP_FMT,%s %d/%d,%s %d/%d
KEY_FRAME_HP_FMT,%s %d / %d,%s %d / %d
KEY_BLOCK_FMT,%s %d,%s %d
KEY_FLOAT_BLOCK_GAIN,+%d Block,+%d Блок
KEY_CORRUPTED_TURNS_FMT,%s (%d turns),%s (%d ход.)
KEY_ACTION_ITEM_FMT,[%s] %s  (%d %s),[%s] %s  (%d %s)
KEY_PASSIVE_FMT,%s: %s,%s: %s
KEY_MUTATION_OVERLAY_FMT,MUTATION: flesh/bone overlay +%d cells,МУТАЦИЯ: плоть/кость +%d клеток
KEY_HINT_DRAG,Drag modules on the body. Hold LMB to move; RMB while dragging to rotate. Drop outside the grid cancels.,Перетаскивайте модули по телу. ЛКМ — перемещение; ПКМ во время перетаскивания — поворот. Дроп вне сетки отменяет действие.
KEY_HINT_CANNOT_PLACE,Cannot place: %s,Нельзя установить: %s
KEY_HINT_DRAGGING,Dragging %s — RMB to rotate; release on a valid cell.,Перетаскивание: %s — ПКМ для поворота; отпустите на валидной клетке.
KEY_HINT_GRAFTED,Module grafted.,Модуль встроен.
KEY_HINT_ROTATED,Rotated to %dx%d — drop to confirm.,Повёрнуто до %dx%d — отпустите для подтверждения.
KEY_HINT_STASH_RETURN,Returned to stash.,Возвращено на склад.
KEY_ITEM_DETAILS,ITEM DETAILS,ДЕТАЛИ ПРЕДМЕТА
KEY_INSPECT,Inspect,Осмотреть
KEY_APPLY_ITEM,[ Apply ],[ Применить ]
KEY_ITEM_COMBAT_ONLY,"[color=#FF5555]Cannot use outside of combat![/color]","[color=#FF5555]Нельзя использовать вне боя![/color]"
KEY_ITEM_CANNOT_USE,"[color=#FF5555]Cannot use this item here.[/color]","[color=#FF5555]Этот предмет нельзя применить здесь.[/color]"
KEY_ITEM_BURNED_NO_AP,"Consumed.","Израсходовано."
KEY_ITEM_CONSUMED,Item consumed.,Предмет израсходован.
KEY_GRID_EXPAND_SUCCESS,"[color=#9B59B6]Grid expanded! A new cell has been unlocked.[/color]","[color=#9B59B6]Сетка расширена! Разблокирована новая ячейка.[/color]"
KEY_GRID_EXPAND_FULL,"[color=#FF5555]No locked cells left to unlock.[/color]","[color=#FF5555]Нет закрытых ячеек для разблокировки.[/color]"
KEY_ABILITIES,Abilities,Способности
KEY_NO_ABILITIES,No abilities.,Нет способностей.
KEY_STR,STR,СИЛ
KEY_AGI,AGI,ЛОВ
KEY_END,END,ВЫН
KEY_INT,INT,ИНТ
KEY_LCK,LCK,УДЧ
KEY_HUM,HUM,ЧЕЛ
KEY_STATS_HEADER_FMT,"%s: %d | %s: %d | %s: %d | %s: %d | %s: %d | %s: %d","%s: %d | %s: %d | %s: %d | %s: %d | %s: %d | %s: %d"
KEY_STAT_TIP_STR,"STR (%d): Physical Damage +%d","СИЛ (%d): физ. урон +%d"
KEY_STAT_TIP_AGI,"AGI (%d): Shield Block +%d","ЛОВ (%d): блок щита +%d"
KEY_STAT_TIP_END,"END (%d): Max HP %d (30 Base + %d)","ВЫН (%d): макс. ОЗ %d (база 30 + %d)"
KEY_STAT_TIP_INT,"INT (%d): Skill Power +%d","ИНТ (%d): сила умений +%d"
KEY_STAT_TIP_LCK,"LCK (%d): Crit Chance %.0f%%","УДЧ (%d): шанс крита %.0f%%"
KEY_STAT_TIP_HUM,"HUM (%d): Humanity (Protagonist Stat)","ЧЕЛ (%d): Человечность (стат героя)"
KEY_CRIT_CHANCE_FMT,Crit %.0f%%,Крит %.0f%%
KEY_ABILITY_DEALS,Deals,Наносит
KEY_ABILITY_BLOCKS,Blocks,Блокирует
KEY_ABILITY_HEALS,Heals,Лечит
KEY_ABILITY_SPECIAL,Special,Особая
KEY_ABILITY_RANGE_STAT_FMT,"%s %d–%d (%d–%d base + %d %s)","%s %d–%d (%d–%d база + %d %s)"
KEY_ABILITY_RANGE_FMT,"%s %d–%d (%d–%d base)","%s %d–%d (%d–%d база)"
KEY_LOG_CRIT_PREFIX,CRIT! %s,КРИТ! %s
KEY_LOG_ENEMY_CRIT_HIT,"[CRITICAL HIT!] %s dealt %d damage!","[КРИТИЧЕСКИЙ УДАР!] %s нанёс %d урона!"
KEY_LOG_ENEMY_BLOCK,%s raises %d block.,%s получает %d блока.
KEY_LOG_ENEMY_HEAL,%s repairs for %d.,%s восстанавливает %d.
KEY_LOG_ENEMY_STUDY,%s: %s — Luck is now %d.,%s: %s — Удача теперь %d.
KEY_LOG_ENEMY_MULTI_HIT,%s uses %s (%d hits)!,%s использует %s (%d ударов)!
KEY_LOG_ENEMY_STAT_MOD,"%s modified %s by %d (now %d).","%s изменил %s на %d (теперь %d)."
KEY_LOG_ENEMY_STATUS,%s applies %s (%d).,%s накладывает %s (%d).
KEY_LOG_STATUS_DOT,%s deals %d (%d taken).,%s наносит %d (получено %d).
KEY_STATUS_DOT,Status damage,Урон статуса
KEY_LOG_STATUS_HEAL,Status repair restores %d HP.,Ремонт статуса восстанавливает %d ОЗ.
KEY_LOG_STUNNED,You are stunned and skip this turn.,Вы оглушены и пропускаете ход.
KEY_LOG_ENEMY_STUNNED,%s is stunned and skips its turn.,%s оглушён и пропускает ход.
KEY_LOG_ENEMY_STATUS_DOT,%s suffers %d status damage.,%s получает %d урона от статуса.
KEY_LOG_RUST_JAM,%s jams from Rust — AP wasted.,%s заклинивает от Ржавчины — ОД потрачены впустую.
KEY_LOG_RUST_MISS,%s misses (Rust).,%s промахивается (Ржавчина).
KEY_LOG_THORNS,%s thorns deal %d.,Шипы %s наносят %d.
KEY_LOG_ENEMY_SUMMON,%s summons %s!,%s призывает %s!
KEY_LOG_ENEMY_SUMMON_FAIL,%s failed to summon %s.,%s не смог призвать %s.
KEY_LOG_BRAND_STIM,%s is branded (%d damage) and enters Frenzy!,%s клеймят (%d урона) — ярость!
KEY_LOG_BRAND_STIM_FAIL,%s has no minions to brand.,%s некого клеймить.
KEY_LOG_CHIP_THEFT,%s steals %d Neuro-Chips (%d dmg; you take %d).,%s крадёт %d нейро-чипов (%d урона; вы получаете %d).
KEY_LOG_ENEMY_FLED,%s flees with %d Neuro-Chips!,%s сбегает с %d нейро-чипами!
KEY_LOG_CHIPS_RECOVERED,%s: recovered %d Neuro-Chips.,%s: возвращено %d нейро-чипов.
KEY_LOG_CHIPS_GAINED,Gained %d Neuro-Chips.,Получено нейро-чипов: %d.
KEY_NEURO_CHIPS,Neuro-Chips,Нейро-чипы
KEY_LOG_SUMMON_FLED,%s panics as %s falls and prepares to flee.,%s впадает в панику — %s пал — и готовится бежать.
KEY_LOG_EVASION_NEGATE,Evasion! The hit is negated.,Уклонение! Удар поглощён.
KEY_LOG_EVASION_NEGATE_ENEMY,%s evades the hit!,%s уклоняется от удара!
KEY_ABILITY_PRE_ACTION_FMT,Pre-action every %d turns (permanent +1 Luck).,Преддействие каждые %d хода (постоянно +1 Удача).
KEY_ABILITY_MULTI_HIT_FMT,"%d× %d–%d (+⌊STR/2⌋=%d); unlocks at ≤%d%% HP","%d× %d–%d (+⌊СИЛ/2⌋=%d); открывается при ≤%d%% ОЗ"
ABILITY_PIPE_SWING_NAME,Pipe Swing,Удар трубой
ABILITY_PIPE_SWING_DESC,A desperate overhead smash.,Отчаянный удар сверху.
ABILITY_GUARD_NAME,Scrap Guard,Хламовый блок
ABILITY_GUARD_DESC,Raises a makeshift guard.,Поднимает импровизированную защиту.
ABILITY_SIGNAL_SPIKE_NAME,Signal Spike,Сигнальный всплеск
ABILITY_SIGNAL_SPIKE_DESC,A spike of corrupted current.,Всплеск искажённого потока.
ABILITY_REPAIR_PULSE_NAME,Repair Pulse,Ремонтный пульс
ABILITY_REPAIR_PULSE_DESC,Heals self and all living allies for 3-4 + INT (2-turn cooldown).,Лечит себя и всех живых союзников на 3–4 + INT (перезарядка 2 хода).
ABILITY_ENEMY_STUDY_NAME,Enemy Study,Изучение врага
ABILITY_ENEMY_STUDY_DESC,Studies your frame every other turn and permanently gains stacking Luck.,Каждый второй ход изучает ваш фрейм и навсегда стакает Удачу.
ABILITY_ENEMY_STUDY_TEXT,Enemy Study,Изучение врага
ABILITY_DESPERATE_ATTACK_NAME,Desperate Attack,Отчаянная атака
ABILITY_DESPERATE_ATTACK_DESC,Below 40% HP: three strikes adding half Strength (1-turn cooldown).,Ниже 40% ОЗ: три удара с половиной Силы (перезарядка 1 ход).
ABILITY_DESPERATE_ATTACK_TEXT,Desperate Attack,Отчаянная атака
ABILITY_PIPE_SWING_TEXT,Pipe Swing,Удар трубой
ABILITY_GUARD_TEXT,Scrap Guard,Блок щитом из мусора
ABILITY_SIGNAL_SPIKE_TEXT,Signal Spike,Сигнальный всплеск
ABILITY_REPAIR_PULSE_TEXT,Repair Pulse,Ремонтный пульс
ABILITY_MEDIC_SWING_NAME,Pipe Swing,Удар трубой
ABILITY_MEDIC_SWING_DESC,A weak overhead smash with scrap pipe.,Слабый удар сверху хламовой трубой.
ABILITY_MEDIC_SWING_TEXT,Pipe Swing,Удар трубой
ABILITY_BUFF_STRENGTH_NAME,Combat Rally,Боевой подъём
ABILITY_BUFF_STRENGTH_DESC,From turn 3: grants stacking +INT Strength to self and all living allies (3-turn cooldown).,С 3 хода: даёт стакающийся +INT к Силе себе и всем живым союзникам (перезарядка 3 хода).
ABILITY_BUFF_STRENGTH_TEXT,Combat Rally,Боевой подъём
ABILITY_SLAVER_SUMMON_NAME,Into the Fray!,В бой; шваль!
ABILITY_SLAVER_SUMMON_DESC,Summons 1–2 branded slaves to fill the master's retinue.,Призывает 1–2 клеймённых рабов; добивая свиту хозяина.
ABILITY_SLAVER_SUMMON_TEXT,Into the Fray!,В бой; шваль!
ABILITY_SLAVER_BRAND_NAME,Brand Stimulation,Стимуляция клейма
ABILITY_SLAVER_BRAND_DESC,Burns living minions for 3 and grants Frenzy (+50% next attack).,Жжёт живых миньонов на 3 и даёт Ярость (+50% к следующей атаке).
ABILITY_SLAVER_BRAND_TEXT,Brand Stimulation,Стимуляция клейма
ABILITY_SLAVER_DOUBLE_NAME,Double Strike,Двойной удар
ABILITY_SLAVER_DOUBLE_DESC,Two moderate physical strikes.,Два средних физических удара.
ABILITY_SLAVER_DOUBLE_TEXT,Double Strike,Двойной удар
ABILITY_SLAVER_STIMS_NAME,Combat Stimulants,Боевые стимуляторы
ABILITY_SLAVER_STIMS_DESC,Every 3 turns: stacking +2 Strength to self and living minions.,Каждые 3 хода: стакающееся +2 Силы себе и живым миньонам.
ABILITY_SLAVER_STIMS_TEXT,Combat Stimulants,Боевые стимуляторы
ABILITY_SLAVER_ARMOR_NAME,Armor Up,Броня
ABILITY_SLAVER_ARMOR_DESC,Raises a heavy personal shield.,Поднимает тяжёлый личный щит.
ABILITY_SLAVER_ARMOR_TEXT,Armor Up,Броня
ABILITY_MINION_LUNGE_NAME,Desperate Lunge,Отчаянный бросок
ABILITY_MINION_LUNGE_DESC,A weak physical strike.,Слабый физический удар.
ABILITY_MINION_LUNGE_TEXT,Desperate Lunge,Отчаянный бросок
ABILITY_DESERTER_AIM_NAME,Take Aim,Прицеливание
ABILITY_DESERTER_AIM_DESC,Marks the target with Vulnerability (no damage).,Помечает цель Уязвимостью (без урона).
ABILITY_DESERTER_AIM_TEXT,Take Aim,Прицеливание
ABILITY_DESERTER_SNIPE_NAME,Precision Shot,Точечный выстрел
ABILITY_DESERTER_SNIPE_DESC,Huge single-target damage after aiming.,Огромный урон по одной цели после прицеливания.
ABILITY_DESERTER_SNIPE_TEXT,Precision Shot,Точечный выстрел
ABILITY_DESERTER_EVASION_NAME,Evasion Protocol,Протокол уклонения
ABILITY_DESERTER_EVASION_DESC,Gain 2 Evasion stacks (each negates one hit).,Получает 2 стака Уклонения (каждый блокирует удар).
ABILITY_DESERTER_EVASION_TEXT,Evasion Protocol,Протокол уклонения
ABILITY_DESERTER_SHIELD_NAME,Hard Cover,Укрытие
ABILITY_DESERTER_SHIELD_DESC,Generates a personal shield.,Создаёт личный щит.
ABILITY_DESERTER_SHIELD_TEXT,Hard Cover,Укрытие
ABILITY_THIEF_STEAL_NAME,Pocket Lift,Карманная кража
ABILITY_THIEF_STEAL_DESC,Minor damage and steals Intellect×4 Neuro-Chips from wallet.,Небольшой урон и кража Интеллект×4 нейро-чипов из кошелька.
ABILITY_THIEF_STEAL_TEXT,Pocket Lift,Карманная кража
ABILITY_THIEF_STAB_NAME,Rib Shiv,Заточка в ребро
ABILITY_THIEF_STAB_DESC,When the target has no chips: attack and apply Bleed.,Если у цели нет чипов: удар и Кровотечение.
ABILITY_THIEF_STAB_TEXT,Rib Shiv,Заточка в ребро
ABILITY_THIEF_SCOUT_NAME,Scout Escape,Присматривает путь
ABILITY_THIEF_SCOUT_DESC,Applies Fleeing — will escape next turn.,Накладывает Побег — сбежит на следующем ходу.
ABILITY_THIEF_SCOUT_TEXT,Scout Escape,Присматривает путь
ABILITY_THIEF_FLEE_NAME,Escape!,Побег!
ABILITY_THIEF_FLEE_DESC,Leaves combat with all stolen Neuro-Chips.,Покидает бой со всеми украденными нейро-чипами.
ABILITY_THIEF_FLEE_TEXT,Escape!,Побег!
ABILITY_SCRAPPER_PREBUFF_NAME,Hydraulic Surge,Гидравлический рывок
ABILITY_SCRAPPER_PREBUFF_DESC,Every 3 turns: stacking permanent +2 Strength before attacking.,Каждые 3 хода: стакающееся постоянное +2 Силы перед атакой.
ABILITY_SCRAPPER_PREBUFF_TEXT,Hydraulic Surge,Гидравлический рывок
ABILITY_PREPARE_SLAM_NAME,Prepare Slam,Замах бампером
ABILITY_PREPARE_SLAM_DESC,Stacking +1 Strength and readies Bumper Slam for the next action.,Стакающееся +1 к Силе и готовит Удар бампером на следующее действие.
ABILITY_PREPARE_SLAM_TEXT,Prepare Slam,Замах бампером
ABILITY_SCRAPPER_SHIELD_NAME,Bulkhead,Заслон
ABILITY_SCRAPPER_SHIELD_DESC,Heavy personal shield.,Тяжёлый личный щит.
ABILITY_SCRAPPER_SHIELD_TEXT,Bulkhead,Заслон
ABILITY_SCRAPPER_BUMPER_NAME,Bumper Slam,Удар бампером
ABILITY_SCRAPPER_BUMPER_DESC,Requires Prepare Slam. Heavy physical hit (9–12) and Slow.,Нужен Замах бампером. Тяжёлый удар (9–12) и Замедление.
ABILITY_SCRAPPER_BUMPER_TEXT,Bumper Slam,Удар бампером
ABILITY_SCRAPPER_EXHAUST_NAME,Exhaust Dump,Выхлопной сброс
ABILITY_SCRAPPER_EXHAUST_DESC,Weak damage and Burn ×2.,Слабый урон и Горение ×2.
ABILITY_SCRAPPER_EXHAUST_TEXT,Exhaust Dump,Выхлопной сброс
KEY_COMBAT_TEXT_ENEMY_CRIT,Critical hit!,Критический удар!
KEY_PRICE,Price,Цена
KEY_DAMAGE,Damage,Урон
KEY_ARMOR,Armor,Броня
KEY_SHIELD,Shield,Щит
KEY_ITEM_TYPE_ARMOR,Armor,Броня
KEY_ITEM_TYPE_SHIELD,Shield,Щит
KEY_TRAITS,TRAITS,ТРЕЙТЫ
KEY_NO_TRAITS,No traits.,Нет трейтов.
KEY_TRAIT_ACTIVE,ACTIVE,АКТИВЕН
KEY_TRAIT_INACTIVE,INACTIVE,НЕАКТИВЕН
KEY_DIMENSIONS,Size,Размер
KEY_DETAILS_EMPTY,Hover a grafted module to inspect it.,Наведите на встроенный модуль; чтобы осмотреть.
KEY_STASH_TOOLTIP_FMT,%s  [%dx%d]%s | %s,%s  [%dx%d]%s | %s
KEY_STATUS_ONLINE,FRAMEWRACK — graft modules; then enter the sector.,FRAMEWRACK — встройте модули и войдите в сектор.
KEY_STATUS_MUTATED,Body grid mutated — new cells grafted (placeholder flesh/bone).,Сетка тела мутировала — добавлены новые клетки (заглушка плоть/кость).
KEY_STATUS_REPAIR,Repair bench used. Frame adjusted.,Ремонтный верстак использован. Фрейм подправлен.
KEY_REST_SITE_PROMPT,"A working workbench remains here. What will I do?","Здесь остался рабочий верстак. Что я буду делать?"
KEY_REST_OPTION_HEAL,Restore 30% HP,Восстановить 30% здоровья
KEY_REST_OPTION_EXTRACT,Remove harmful modules,Удалить вредоносные модули
KEY_REST_HOVER_HEAL,Restore 30% HP ({0}).,Восстановить 30% здоровья ({0}).
KEY_REST_HOVER_EXTRACT,Remove harmful modules.,Удалить вредоносные модули.
KEY_REST_RESULT_HEAL,Restored {0} HP.,Восстановлено ОЗ: {0}.
KEY_REST_RESULT_EXTRACT,Removed {0} harmful module(s).,Удалено вредоносных модулей: {0}.
KEY_STATUS_EVENT,Mutation Cache: scavenged Rebel Cleaver (+10 HP).,Кэш мутации: найден Тесак повстанца (+10 ОЗ).
KEY_STATUS_ENGAGEMENT,ENGAGEMENT — %s,СТОЛКНОВЕНИЕ — %s
KEY_STATUS_COMBAT_WIN,Combat resolved. Continue when ready.,Бой завершён. Продолжайте; когда будете готовы.
KEY_STATUS_COMBAT_LOSE,Frame failed. Start a new run.,Фрейм разрушен. Начинайте заново.
KEY_STATUS_SECTOR_SECURED,Sector secured. Select the next node.,Сектор зачищен. Выберите следующий узел.
KEY_STATUS_WRECKAGE,You are wreckage. Press New Run.,Вы развалились на части. Нажмите «Новая игра».
KEY_STATUS_RUN_COMPLETE,FRAMEWRACK CORE silenced. Run complete.,ЯДРО FRAMEWRACK заглушено. Забег завершён.
KEY_STATUS_NEW_RUN,New frame online. Graft. Advance. Mutate.,Новый фрейм в сети. Встраивай. Развивайся. Мутируй.
KEY_COMBAT_CLICK_HINT,Click a body module to use it. LMB enemy to target; RMB to inspect.,Клик по модулю — использовать. ЛКМ по врагу — цель; ПКМ — осмотр.
KEY_LOG_NO_USES,No uses left this turn.,Нет использований на этот ход.
KEY_LOG_ITEM_COOLDOWN,%s is cooling down.,%s на перезарядке.
KEY_LOG_NO_CHARGES,No charges remaining.,Заряды закончились.
KEY_LOG_ITEM_DESTROYED,%s is spent and falls apart.,%s израсходован и разваливается.
KEY_LOG_YOUR_TURN,— Your turn — (%d AP),— Ваш ход — (%d ОД)
KEY_LOG_ENEMY_TURN,— Enemy turn —,— Ход врага —
KEY_LOG_OFFLINE,%s is offline (corrupted cells).,%s не работает (искажённые клетки).
KEY_LOG_PASSIVE,%s is passive.,%s пассивен.
KEY_LOG_NOT_ENOUGH_AP,Not enough AP.,Недостаточно ОД.
KEY_LOG_ACTIVATED,Activated %s.,Активирован: %s.
KEY_LOG_DAMAGE,%s deals %d damage%s to %s.,%s наносит %d урона%s по %s.
KEY_LOG_REACTOR_BONUS, (+%d reactor), (+%d реактор)
KEY_LOG_BLOCK,%s raises %d Block (total %d).,%s поднимает %d Блока (всего %d).
KEY_LOG_ENEMY_STRIKE,%s strikes for %d (you take %d).,%s бьёт на %d (вы получаете %d).
KEY_LOG_CELL_CORRUPTED,%s unleashes corruption! %d damage; %s locked %d turns.,%s выпускает искажение! %d урона; %s заблокировано на %d ход.
KEY_LOG_CELL_NAME,cell (%d,%d),клетка (%d,%d)
KEY_LOG_NO_CELL,no cell,нет клетки
KEY_LOG_VICTORY,Hostiles neutralized.,Противники нейтрализованы.
KEY_LOG_DEFEAT,Frame integrity critical. Shutdown.,Критические повреждения фрейма. Отключение.
KEY_LOG_XP_GAINED,You gained %d XP.,Вы получили %d опыта.
KEY_LOG_BOSS_VICTORY_HEAL,Act boss defeated — frame integrity restored to full.,Босс акта повержен — целостность фрейма полностью восстановлена.
KEY_LOG_BOSS_VICTORY_PURGE,Purged %d harmful module(s) from the frame.,Из фрейма удалено вредоносных модулей: %d.
KEY_LOG_TARGETING,Targeting enemy #%d.,Цель: враг #%d.
KEY_PLACE_NO_DATA,No item data.,Нет данных предмета.
KEY_PLACE_INVALID_FOOTPRINT,Invalid footprint.,Неверная форма.
KEY_PLACE_OUTSIDE,Outside unlocked body grid.,Вне открытой сетки тела.
KEY_PLACE_OCCUPIED,Cell occupied.,Клетка занята.
KEY_PLACE_CORRUPTED,Cell corrupted — repair required.,Клетка искажена — нужен ремонт.
KEY_PLACE_EDGE,Item requires edge placement.,Предмет требует установки на край.
ENEMY_DESPERATE_REBEL_NAME,Desperate Rebel,Отчаянный повстанец
ENEMY_DESPERATE_REBEL_DESC,A starving human with a pipe. Still believes this city has a future.,Голодный человек с трубой. Всё ещё верит; что у города есть будущее.
ENEMY_CORRUPTED_SYNTHET_NAME,Corrupted Synthet,Искажённый синтет
ENEMY_CORRUPTED_SYNTHET_DESC,Half-melted chassis leaking signal noise. Dangerous when cornered.,Полуразрушенный фрейм, источающий искажения. Становится опасен; если загнать его в угол.
